Crystal angle	Rate at 15kV	Rate at 17kV	Rate at 19kV	Rate at 21kV	Rate at 23kV	Rate at 25kV	Rate at 27kV	Rate at 29kV	Rate at 31kV	Rate at 33kV	Rate at 35kV
theta/°	R(15kV)/Imp/s	R(17kV)/Imp/s	R(19kV)/Imp/s	R(21kV)/Imp/s	R(23kV)/Imp/s	R(25kV)/Imp/s	R(27kV)/Imp/s	R(29kV)/Imp/s	R(31kV)/Imp/s	R(33kV)/Imp/s	R(35kV)/Imp/s

2.0	72.0	131.0	216.0	304.0	417.0	582.0	809.0	1084.0	1464.0	2114.0	2989.0
2.1	65.0	133.0	212.0	276.0	400.0	522.0	813.0	1082.0	1527.0	2130.0	3034.0
2.2	62.0	141.0	200.0	279.0	417.0	542.0	782.0	984.0	1442.0	1955.0	2781.0
2.3	60.0	114.0	187.0	296.0	421.0	501.0	723.0	1027.0	1380.0	1872.0	2685.0
2.4	68.0	116.0	167.0	266.0	416.0	488.0	709.0	937.0	1361.0	1787.0	2573.0
2.5	66.0	108.0	151.0	263.0	369.0	489.0	659.0	831.0	1178.0	1759.0	2509.0
2.6	52.0	81.0	171.0	221.0	350.0	464.0	629.0	869.0	1213.0	1784.0	2538.0
2.7	51.0	97.0	169.0	234.0	328.0	435.0	611.0	833.0	1133.0	1714.0	2437.0
2.8	39.0	95.0	151.0	205.0	300.0	384.0	570.0	733.0	1092.0	1549.0	2103.0
2.9	42.0	78.0	132.0	192.0	274.0	370.0	534.0	702.0	0.0	1301.0	1978.0
3.0	46.0	63.0	105.0	175.0	252.0	294.0	444.0	559.0	768.0	1162.0	1591.0
3.1	38.0	57.0	104.0	159.0	227.0	306.0	411.0	556.0	727.0	1029.0	1424.0
3.2	31.0	50.0	69.0	116.0	165.0	227.0	303.0	402.0	536.0	680.0	1009.0
3.3	24.0	34.0	70.0	89.0	148.0	170.0	260.0	308.0	459.0	547.0	725.0
3.4	10.0	31.0	56.0	72.0	92.0	137.0	199.0	257.0	306.0	389.0	533.0
3.5	16.0	20.0	20.0	42.0	84.0	102.0	133.0	173.0	244.0	356.0	419.0
3.6	6.0	18.0	26.0	26.0	53.0	61.0	88.0	122.0	165.0	252.0	314.0
3.7	5.0	6.0	8.0	17.0	24.0	33.0	50.0	79.0	123.0	187.0	291.0
3.8	2.0	3.0	6.0	7.0	8.0	37.0	46.0	57.0	102.0	150.0	300.0
3.9	3.0	3.0	7.0	6.0	11.0	13.0	39.0	64.0	83.0	147.0	347.0
