Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

2.0	2536.0
2.1	2662.0
2.2	2596.0
2.3	2434.0
2.4	2335.0
2.5	2226.0
2.6	2277.0
2.7	2284.0
2.8	2060.0
2.9	1740.0
3.0	1428.0
3.1	1121.0
3.2	808.0
3.3	583.0
3.4	388.0
3.5	328.0
3.6	247.0
3.7	245.0
3.8	291.0
3.9	298.0
4.0	360.0
4.1	399.0
4.2	414.0
4.3	425.0
4.4	474.0
4.5	487.0
4.6	491.0
4.7	487.0
4.8	500.0
4.9	499.0
5.0	536.0
5.1	495.0
5.2	509.0
5.3	533.0
5.4	523.0
5.5	528.0
5.6	509.0
5.7	526.0
5.8	522.0
5.9	509.0
6.0	560.0
6.1	542.0
6.2	580.0
6.3	691.0
6.4	1001.0
6.5	1326.0
6.6	1150.0
6.7	783.0
6.8	705.0
6.9	696.0
7.0	879.0
7.1	1246.0
7.2	2302.0
7.3	3502.0
7.4	3064.0
7.5	1785.0
7.6	1111.0
7.7	695.0
7.8	633.0
7.9	559.0
8.0	567.0
8.1	559.0
8.2	545.0
8.3	551.0
8.4	562.0
8.5	521.0
8.6	518.0
8.7	516.0
8.8	489.0
8.9	492.0
9.0	512.0
9.1	486.0
9.2	486.0
9.3	476.0
9.4	458.0
9.5	459.0
9.6	398.0
9.7	361.0
9.8	393.0
9.9	338.0
10.0	349.0
10.1	344.0
10.2	324.0
10.3	339.0
10.4	328.0
10.5	321.0
10.6	307.0
10.7	301.0
10.8	274.0
10.9	285.0
11.0	271.0
11.1	275.0
11.2	263.0
11.3	247.0
11.4	239.0
11.5	244.0
11.6	237.0
11.7	229.0
11.8	245.0
11.9	245.0
12.0	227.0
12.1	224.0
12.2	228.0
12.3	217.0
12.4	228.0
12.5	217.0
12.6	207.0
12.7	235.0
12.8	239.0
12.9	274.0
13.0	353.0
13.1	389.0
13.2	248.0
13.3	236.0
13.4	176.0
13.5	175.0
13.6	193.0
13.7	176.0
13.8	188.0
13.9	158.0
14.0	169.0
14.1	158.0
14.2	158.0
14.3	176.0
14.4	216.0
14.5	314.0
14.6	714.0
14.7	1008.0
14.8	632.0
14.9	412.0
15.0	268.0
15.1	220.0
15.2	149.0
15.3	146.0
15.4	130.0
15.5	137.0
15.6	118.0
15.7	121.0
15.8	124.0
15.9	126.0
16.0	122.0
16.1	113.0
16.2	102.0
16.3	99.0
16.4	97.0
16.5	89.0
16.6	88.0
16.7	94.0
16.8	100.0
16.9	99.0
17.0	89.0
17.1	113.0
17.2	78.0
17.3	86.0
17.4	87.0
17.5	81.0
17.6	90.0
17.7	83.0
17.8	81.0
17.9	80.0
18.0	80.0
18.1	72.0
18.2	75.0
18.3	78.0
18.4	72.0
18.5	56.0
18.6	78.0
18.7	77.0
18.8	70.0
18.9	71.0
19.0	76.0
19.1	68.0
19.2	69.0
19.3	67.0
19.4	58.0
19.5	67.0
19.6	81.0
19.7	97.0
19.8	90.0
19.9	68.0
20.0	67.0
20.1	57.0
20.2	48.0
20.3	0.0
20.4	53.0
20.5	53.0
20.6	38.0
20.7	59.0
20.8	46.0
20.9	48.0
21.0	57.0
21.1	49.0
21.2	56.0
21.3	59.0
21.4	40.0
21.5	46.0
21.6	42.0
21.7	54.0
21.8	50.0
21.9	52.0
22.0	68.0
22.1	77.0
22.2	169.0
22.3	197.0
22.4	140.0
22.5	0.0
22.6	80.0
22.7	64.0
22.8	49.0
22.9	40.0
23.0	53.0
23.1	42.0
23.2	49.0
23.3	36.0
23.4	40.0
23.5	36.0
23.6	37.0
23.7	33.0
23.8	34.0
23.9	45.0
24.0	39.0
24.1	42.0
24.2	43.0
24.3	39.0
24.4	43.0
24.5	35.0
24.6	28.0
24.7	36.0
24.8	41.0
24.9	34.0
25.0	33.0
25.1	33.0
25.2	25.0
25.3	36.0
25.4	38.0
25.5	43.0
25.6	23.0
25.7	32.0
25.8	36.0
25.9	28.0
26.0	27.0
26.1	27.0
26.2	35.0
26.3	39.0
26.4	30.0
26.5	19.0
26.6	34.0
26.7	26.0
26.8	28.0
26.9	34.0
27.0	28.0
27.1	32.0
27.2	28.0
27.3	26.0
27.4	26.0
27.5	29.0
27.6	20.0
27.7	43.0
27.8	28.0
27.9	28.0
28.0	31.0
28.1	24.0
28.2	28.0
28.3	32.0
28.4	28.0
28.5	31.0
28.6	26.0
28.7	29.0
28.8	19.0
28.9	27.0
29.0	21.0
29.1	34.0
29.2	25.0
29.3	23.0
29.4	26.0
29.5	29.0
29.6	25.0
29.7	27.0
29.8	22.0
29.9	30.0
30.0	25.0
30.1	32.0
30.2	46.0
30.3	41.0
30.4	40.0
30.5	40.0
30.6	29.0
30.7	33.0
30.8	23.0
30.9	22.0
31.0	24.0
31.1	26.0
31.2	14.0
31.3	19.0
31.4	21.0
31.5	21.0
31.6	28.0
31.7	24.0
31.8	28.0
31.9	25.0
32.0	25.0
32.1	25.0
32.2	20.0
32.3	18.0
32.4	17.0
32.5	18.0
32.6	13.0
32.7	15.0
32.8	20.0
32.9	15.0
33.0	17.0
33.1	17.0
33.2	26.0
33.3	23.0
33.4	22.0
33.5	20.0
33.6	24.0
33.7	22.0
33.8	13.0
33.9	18.0
34.0	20.0
34.1	22.0
34.2	14.0
34.3	11.0
34.4	16.0
34.5	24.0
34.6	16.0
34.7	17.0
34.8	17.0
34.9	15.0
35.0	12.0
